Image Name: Capture 2	
Slide Name: Slide1.sld	
Capture Date: 10/23/2020	
Capture Time: 17:18:02	
Plane	Time	Elapsed (ms)	PMT 1 (1) Mean 	PMT 1 (1) Min 	PMT 1 (1) Max 	PMT 1 (2) Mean 	PMT 1 (2) Min 	PMT 1 (2) Max 	PMT 1 (3) Mean 	PMT 1 (3) Min 	PMT 1 (3) Max 	PMT 1 (4) Mean 	PMT 1 (4) Min 	PMT 1 (4) Max 	PMT 1 (5) Mean 	PMT 1 (5) Min 	PMT 1 (5) Max 	PMT 2 (1) Mean 	PMT 2 (1) Min 	PMT 2 (1) Max 	PMT 2 (2) Mean 	PMT 2 (2) Min 	PMT 2 (2) Max 	PMT 2 (3) Mean 	PMT 2 (3) Min 	PMT 2 (3) Max 	PMT 2 (4) Mean 	PMT 2 (4) Min 	PMT 2 (4) Max 	PMT 2 (5) Mean 	PMT 2 (5) Min 	PMT 2 (5) Max 	
0	17:18:02	0	3815.612	491.000	7864.000	4315.427	667.000	8348.000	1735.110	204.000	8363.000	2191.820	180.000	8383.000	1108.734	269.000	5849.000	635.849	3.000	3335.000	947.448	0.000	4691.000	2040.869	0.000	8383.000	1999.780	0.000	7764.000	3681.406	0.000	8383.000	
1	17:18:02	288	3721.556	472.000	7285.000	4536.366	916.000	8184.000	1735.207	186.000	7849.000	2179.711	101.000	8007.000	1119.787	171.000	4823.000	722.220	0.000	3814.000	854.685	3.000	3976.000	2012.745	0.000	8383.000	2046.593	0.000	7949.000	3770.649	0.000	8383.000	
2	17:18:02	573	3620.138	621.000	8335.000	4326.017	675.000	8292.000	1722.257	215.000	7208.000	2174.983	173.000	8018.000	1139.492	184.000	4634.000	746.552	8.000	4099.000	884.267	2.000	3804.000	1989.002	0.000	8383.000	2041.026	0.000	7985.000	3779.511	0.000	8383.000	
3	17:18:02	859	3586.060	613.000	7940.000	4314.642	787.000	8383.000	1706.764	204.000	7741.000	2173.874	114.000	8383.000	1125.135	196.000	4677.000	702.207	0.000	3609.000	863.004	0.000	4328.000	2018.594	0.000	8142.000	1996.031	0.000	8383.000	3793.193	0.000	8383.000	
4	17:18:02	1145	3681.483	644.000	7914.000	4301.444	780.000	8383.000	1726.204	205.000	8168.000	2190.731	166.000	8383.000	1118.289	198.000	4344.000	772.599	0.000	4299.000	846.078	2.000	3712.000	2064.969	0.000	8383.000	2053.930	0.000	7862.000	3766.811	0.000	8383.000	
5	17:18:02	1431	3733.909	582.000	8383.000	4423.651	738.000	7839.000	1722.845	167.000	8072.000	2192.144	113.000	8233.000	1104.448	253.000	4682.000	727.720	0.000	4377.000	853.345	0.000	3445.000	1968.392	0.000	8383.000	2143.976	0.000	7773.000	3696.332	0.000	8383.000	
6	17:18:02	1716	3647.716	495.000	7937.000	4480.940	140.000	8383.000	1699.240	194.000	7601.000	2210.823	64.000	8337.000	1136.098	200.000	4845.000	766.841	0.000	3572.000	927.440	0.000	4951.000	1958.459	0.000	8383.000	2161.405	0.000	8169.000	3739.152	0.000	8383.000	
7	17:18:02	2002	3624.366	644.000	8078.000	4451.815	396.000	8383.000	1711.066	231.000	7506.000	2227.440	186.000	8216.000	1104.051	203.000	5112.000	666.284	0.000	3925.000	955.211	1.000	4715.000	1926.720	0.000	8383.000	2194.461	0.000	8383.000	3719.582	0.000	8383.000	
8	17:18:02	2288	3657.323	543.000	7224.000	4536.780	521.000	8206.000	1680.815	163.000	7460.000	2182.907	232.000	8054.000	1108.686	192.000	6002.000	685.789	0.000	3354.000	873.569	3.000	4167.000	1939.137	0.000	8383.000	2131.463	0.000	8383.000	3730.625	0.000	8383.000	
9	17:18:02	2574	3705.858	699.000	7398.000	4425.375	989.000	8383.000	1664.514	138.000	7619.000	2187.788	104.000	8383.000	1099.534	170.000	4739.000	809.522	7.000	4279.000	821.233	0.000	3409.000	1967.560	0.000	8383.000	2114.844	0.000	8383.000	3783.614	0.000	8383.000	FRAP timelapse timepoint: 10 500 ms 1 repetition all regions power 2 10 (Ph2P RS)	
10	17:18:02	8935	3674.491	433.000	8271.000	4594.009	550.000	8383.000	1648.081	193.000	8381.000	2145.774	182.000	7975.000	1037.391	233.000	4524.000	713.625	0.000	4413.000	837.819	1.000	3238.000	2111.187	0.000	8383.000	1748.812	0.000	7877.000	3652.733	0.000	8383.000	
11	17:18:02	9221	3524.888	497.000	7324.000	4579.422	560.000	8383.000	1664.076	177.000	8218.000	2112.883	122.000	8383.000	1079.348	226.000	4672.000	653.142	4.000	4240.000	821.116	0.000	4740.000	2022.067	0.000	8383.000	1751.234	0.000	7167.000	3681.744	0.000	8383.000	
12	17:18:02	9507	3547.841	444.000	7671.000	4263.254	879.000	7968.000	1668.357	161.000	8383.000	2116.551	146.000	8383.000	1088.466	184.000	4809.000	798.284	0.000	4361.000	834.414	6.000	3782.000	1998.914	0.000	8383.000	1873.596	0.000	6968.000	3708.858	0.000	8383.000	
13	17:18:02	9793	3515.543	495.000	6988.000	4285.453	655.000	8383.000	1658.094	44.000	7686.000	2148.819	22.000	8223.000	1087.076	162.000	4827.000	663.379	0.000	3937.000	778.509	2.000	3651.000	1977.544	0.000	8383.000	1905.938	0.000	7409.000	3695.656	0.000	8383.000	
